redcount,greencount,bluecount,samecount,redgreen,redblue,greenblue,total,lat,lng
131451,89909,170121,1030,9062,85,7942,409600,40.7365159451,-73.9957523406
119811,77134,188088,7755,10536,120,6156,409600,40.7365159451,-73.9957523406
115813,76346,193420,7885,7411,105,8620,409600,40.7365159451,-73.9957523406
171254,145056,59843,9414,18863,98,5072,409600,40.7365159501,-73.9968281648
187040,131839,69584,5462,11125,119,4431,409600,40.7365159501,-73.9968281648
165394,115957,106579,5118,13800,37,2715,409600,40.7365159501,-73.9968281648
227012,80367,81076,7637,11367,590,1551,409600,40.7365159501,-73.9968281648
49192,184280,147844,2681,12155,69,13379,409600,40.7365159551,-73.997903989
26313,240803,65354,61992,7601,105,7432,409600,40.7365159551,-73.997903989
35508,292583,55849,732,8920,28,15980,409600,40.7365159551,-73.997903989
67735,169851,143619,6331,11577,67,10420,409600,40.7365159551,-73.997903989
150196,218829,16696,5977,15810,245,1847,409600,40.7365159601,-73.9989798131
55133,268371,68269,3389,8863,169,5406,409600,40.7365159601,-73.9989798131
99774,234447,53231,4249,12738,862,4299,409600,40.7365159601,-73.9989798131
72924,274398,34324,3621,8507,219,15607,409600,40.7365159601,-73.9989798131
217369,79616,97547,5130,5088,55,4795,409600,40.7365159651,-74.0000556373
194243,122984,74092,3083,6456,107,8635,409600,40.7365159651,-74.0000556373
132013,171378,77576,6690,16110,362,5471,409600,40.7365159651,-74.0000556373
158322,132334,103362,597,6988,59,7938,409600,40.7365159651,-74.0000556373
181518,50807,152926,1620,20990,91,1648,409600,40.7365159701,-74.0011314615
121246,71968,192477,5248,13844,118,4699,409600,40.7365159701,-74.0011314615
180068,61073,152902,1304,12535,58,1660,409600,40.7365159701,-74.0011314615
150312,108302,119786,1658,28438,158,946,409600,40.7365159701,-74.0011314615
104177,163611,116522,9633,10988,491,4178,409600,40.7365159751,-74.0022072857
137134,204556,49378,3987,11570,125,2850,409600,40.7365159751,-74.0022072857
42092,201175,151414,6483,3796,506,4134,409600,40.7365159751,-74.0022072857
44878,222278,128574,2667,6869,384,3950,409600,40.7365159751,-74.0022072857
102433,188863,90402,3058,14175,569,10100,409600,40.7365159801,-74.0032831099
136992,150726,102736,2912,9976,258,6000,409600,40.7365159801,-74.0032831099
171842,172611,48978,3856,8106,262,3945,409600,40.7365159801,-74.0032831099
113896,205635,41353,7832,29651,263,10970,409600,40.7365159801,-74.0032831099
90542,172109,121897,6544,10272,667,7569,409600,40.7365159851,-74.004358934
209027,79783,107510,3502,5607,461,3710,409600,40.7365159851,-74.004358934
81474,154441,153846,6526,7090,1404,4819,409600,40.7365159851,-74.004358934
101634,150159,143090,3766,3838,1159,5954,409600,40.7365159851,-74.004358934
118749,169314,80384,15497,14132,63,11461,409600,40.7365159901,-74.0054347582
50139,243935,84936,13097,6856,158,10479,409600,40.7365159901,-74.0054347582
53846,268248,32555,36492,15391,196,2872,409600,40.7365159901,-74.0054347582
89901,205570,90656,3530,7074,50,12819,409600,40.7365159901,-74.0054347582
66884,252117,72910,2257,6295,117,9020,409600,40.736515995,-74.0065105824
220429,89398,84331,1842,5572,70,7958,409600,40.736515995,-74.0065105824
143251,106432,141169,2225,11402,163,4958,409600,40.736515995,-74.0065105824
138779,133681,108424,11662,10499,179,6376,409600,40.736515995,-74.0065105824
158265,159596,64293,1951,18872,17,6606,409600,40.736516005,-74.0086622308
104414,195203,86629,5046,5872,36,12400,409600,40.736516005,-74.0086622308
190770,115093,78537,1945,7264,32,15959,409600,40.736516005,-74.0086622308
120872,250729,23217,1156,7460,27,6139,409600,40.736516005,-74.0086622308
165598,37134,199442,481,3794,84,3067,409600,40.73651601,-74.0097380549
146789,24926,221208,6526,6088,103,3960,409600,40.73651601,-74.0097380549
186327,21466,192527,652,7469,261,898,409600,40.73651601,-74.0097380549
139352,49258,203171,2453,8706,30,6630,409600,40.73651601,-74.0097380549
154712,133394,98908,6644,6626,710,8606,409600,40.736516,-74.0075864066
190842,84989,116096,3499,6551,476,7147,409600,40.736516,-74.0075864066
117688,132001,147566,1473,4744,486,5642,409600,40.736516,-74.0075864066
64300,151265,179652,4346,3133,1901,5003,409600,40.736516,-74.0075864066
144061,75509,170293,2506,16323,33,875,409600,40.7371283652,-73.9742354708
217772,39194,126276,1485,24176,82,615,409600,40.7371283652,-73.9742354708
177850,33159,185984,1040,10687,67,813,409600,40.7371283652,-73.9742354708
239572,63320,91208,3412,10173,51,1864,409600,40.7371283652,-73.9742354708
134591,120373,140586,193,2914,25,10918,409600,40.7371283702,-73.9753113049
24654,136847,219645,8980,9902,558,9014,409600,40.7371283702,-73.9753113049
70183,72328,247636,548,6449,35,12421,409600,40.7371283702,-73.9753113049
102352,116384,170844,3241,11447,58,5274,409600,40.7371283702,-73.9753113049
152904,42600,204718,447,4798,95,4038,409600,40.7371283752,-73.9763871389
165035,40269,180628,5117,13532,185,4834,409600,40.7371283752,-73.9763871389
155658,27555,215593,2094,5941,53,2706,409600,40.7371283752,-73.9763871389
116474,48413,233101,2649,6417,148,2398,409600,40.7371283752,-73.9763871389
139200,63444,183255,3206,11469,78,8948,409600,40.7371283852,-73.9785388071
149844,109737,106868,10257,14862,260,17772,409600,40.7371283852,-73.9785388071
112496,114520,145210,6700,14712,165,15797,409600,40.7371283852,-73.9785388071
201507,71028,118576,2065,5898,77,10449,409600,40.7371283852,-73.9785388071
146552,110621,125802,2470,13910,22,10223,409600,40.7371283902,-73.9796146412
104405,129516,148761,2353,12846,22,11697,409600,40.7371283902,-73.9796146412
51461,150287,149199,22091,8586,35,27941,409600,40.7371283902,-73.9796146412
103628,78149,208711,5551,9065,34,4462,409600,40.7371283902,-73.9796146412
153953,181625,37386,1208,27749,27,7652,409600,40.7371283952,-73.9806904753
177166,164753,47325,807,13102,13,6434,409600,40.7371283952,-73.9806904753
150562,151300,75736,1826,9669,47,20460,409600,40.7371283952,-73.9806904753
104235,179339,103285,1372,10513,5,10851,409600,40.7371283952,-73.9806904753
193334,99472,91645,4343,9387,360,11059,409600,40.7371284002,-73.9817663093
70808,261570,54796,957,11316,23,10130,409600,40.7371284002,-73.9817663093
84888,220014,82042,2909,13946,217,5584,409600,40.7371284002,-73.9817663093
126433,137847,100502,4945,33007,79,6787,409600,40.7371284002,-73.9817663093
174799,101936,111265,2681,7595,130,11194,409600,40.7371284052,-73.9828421434
197755,44847,150151,3521,5799,159,7368,409600,40.7371284052,-73.9828421434
162983,47313,182874,2471,8853,189,4917,409600,40.7371284052,-73.9828421434
149065,73479,169489,1879,7775,246,7667,409600,40.7371284052,-73.9828421434
102031,121999,150168,7134,17870,492,9906,409600,40.7371284102,-73.9839179775
201736,110956,75113,5140,10310,269,6076,409600,40.7371284102,-73.9839179775
179138,65219,149676,1316,5335,112,8804,409600,40.7371284102,-73.9839179775
110773,92757,169209,4556,15039,252,17014,409600,40.7371284102,-73.9839179775
199661,59811,128206,8519,4376,248,8779,409600,40.7371284152,-73.9849938116
84686,173516,138566,3328,6348,521,2635,409600,40.7371284152,-73.9849938116
66064,184333,147695,4175,4362,336,2635,409600,40.7371284152,-73.9849938116
125560,92443,181314,1522,4737,322,3702,409600,40.7371284152,-73.9849938116
110040,164953,125178,776,6166,226,2261,409600,40.7371284202,-73.9860696457
142306,87027,169481,1710,6364,83,2629,409600,40.7371284202,-73.9860696457
133143,222139,44957,567,5311,65,3418,409600,40.7371284202,-73.9860696457
223474,108433,65674,2304,6997,188,2530,409600,40.7371284202,-73.9860696457
148922,148255,89542,3598,12879,283,6121,409600,40.7371284251,-73.9871454798
88945,181141,115686,6177,7015,1353,9283,409600,40.7371284251,-73.9871454798
170852,134574,82667,2201,13807,109,5390,409600,40.7371284251,-73.9871454798
128277,148713,91134,26810,9706,2499,2461,409600,40.7371284251,-73.9871454798
158148,99295,98624,16674,31338,239,5282,409600,40.7371284301,-73.9882213138
175796,91757,109088,8230,20200,160,4369,409600,40.7371284301,-73.9882213138
156481,55177,179285,2168,11184,335,4970,409600,40.7371284301,-73.9882213138
148610,60862,149191,17630,30299,161,2847,409600,40.7371284301,-73.9882213138
113821,68345,185015,20390,14960,117,6952,409600,40.7371284351,-73.9892971479
209477,90938,93337,1870,9697,43,4238,409600,40.7371284351,-73.9892971479
161137,65375,156370,8005,13762,400,4551,409600,40.7371284351,-73.9892971479
141658,64830,175127,5447,16785,250,5503,409600,40.7371284351,-73.9892971479
151493,35268,213714,505,4928,58,3634,409600,40.7371284401,-73.990372982
68510,123514,200278,1929,9576,126,5667,409600,40.7371284401,-73.990372982
140670,89872,161891,2106,10286,72,4703,409600,40.7371284401,-73.990372982
148065,54358,194525,1748,9377,171,1356,409600,40.7371284401,-73.990372982
112803,110950,162122,4259,12356,170,6940,409600,40.7371284451,-73.9914488161
155960,43342,196379,2645,7064,77,4133,409600,40.7371284451,-73.9914488161
104647,39043,246637,8317,6546,592,3818,409600,40.7371284451,-73.9914488161
109709,103885,174930,5780,12229,171,2896,409600,40.7371284451,-73.9914488161
161493,106752,117104,1736,13976,178,8361,409600,40.7371284501,-73.9925246502
206322,43992,137885,3994,13308,277,3822,409600,40.7371284501,-73.9925246502
129995,48327,199961,16045,11710,506,3056,409600,40.7371284501,-73.9925246502
181171,61697,141751,3798,16772,82,4329,409600,40.7371284501,-73.9925246502
149864,104589,128278,12370,11249,204,3046,409600,40.7371284551,-73.9936004842
187124,69325,134855,1885,8387,75,7949,409600,40.7371284551,-73.9936004842
96272,137883,141650,22896,6988,232,3679,409600,40.7371284551,-73.9936004842
189437,30903,172148,5584,9635,402,1491,409600,40.7371284551,-73.9936004842
66992,155544,152627,11193,11280,223,11741,409600,40.7371284601,-73.9946763183
112149,159149,113293,5292,12763,558,6396,409600,40.7371284601,-73.9946763183
76990,183661,119844,10205,14001,271,4628,409600,40.7371284601,-73.9946763183
61647,199640,123735,9553,9356,691,4978,409600,40.7371284601,-73.9946763183
135405,140634,97792,5194,20585,118,9872,409600,40.7371284651,-73.9957521524
140690,131265,118425,880,11115,30,7195,409600,40.7371284651,-73.9957521524
114669,141651,126525,2212,9982,173,14388,409600,40.7371284651,-73.9957521524
115353,75817,198153,2656,8544,91,8986,409600,40.7371284651,-73.9957521524
80116,48907,262248,1900,7269,112,9048,409600,40.7371284701,-73.9968279865
167244,45290,180221,2837,6932,335,6741,409600,40.7371284701,-73.9968279865
189176,56851,144991,3007,9574,228,5773,409600,40.7371284701,-73.9968279865
135555,84701,170642,1436,9993,71,7202,409600,40.7371284701,-73.9968279865
128620,222484,37935,2565,7697,120,10179,409600,40.7371284751,-73.9979038206
111087,242854,33054,4544,11187,210,6664,409600,40.7371284751,-73.9979038206
121894,209947,56089,3115,10854,107,7594,409600,40.7371284751,-73.9979038206
151687,147685,88067,2063,10303,205,9590,409600,40.7371284751,-73.9979038206
91821,213523,82351,1402,8054,445,12004,409600,40.7371284801,-73.9989796547
148205,189969,47624,8461,10893,419,4029,409600,40.7371284801,-73.9989796547
56124,248326,88324,2242,5571,144,8869,409600,40.7371284801,-73.9989796547
136246,163130,86435,5548,10005,721,7515,409600,40.7371284801,-73.9989796547
190958,191856,8828,2514,12022,57,3365,409600,40.7371284851,-74.0000554887
230837,117726,42087,695,13949,35,4271,409600,40.7371284851,-74.0000554887
168834,170568,26227,24670,14626,123,4552,409600,40.7371284851,-74.0000554887
94648,224229,66330,5587,9322,11,9473,409600,40.7371284851,-74.0000554887
105949,62912,221926,3276,5042,117,10378,409600,40.7371284901,-74.0011313228
106429,95793,178251,7438,14697,68,6924,409600,40.7371284901,-74.0011313228
182606,104145,102725,1684,8226,88,10126,409600,40.7371284901,-74.0011313228
103413,72526,206455,16852,6501,353,3500,409600,40.7371284901,-74.0011313228
142636,179730,75091,2296,6679,264,2904,409600,40.7371284951,-74.0022071569
74813,177992,127581,14069,8854,1171,5120,409600,40.7371284951,-74.0022071569
89737,164931,117874,21960,8496,261,6341,409600,40.7371284951,-74.0022071569
121213,144512,123159,3742,6222,153,10599,409600,40.7371284951,-74.0022071569
